fandom,year,n_loyalty,n_spillover,n_total,loyalty_sum,spillover_sum,loyalty_density,spillover_density,year_share,late_round_share,valid_cell
이찬원,2025,1,12,13,1.0,21.2,,1.7667,0.01033,0.1538,1
이찬원,2026,15,19,34,33.1,34.2,2.2067,1.8,0.02232,0.3235,1
이효리,2018,0,2,2,0.0,4.1,,,0.00948,0.5,0
이효리,2020,1,4,5,1.0,6.8,,1.7,0.01838,0.4,1
이효리,2021,0,1,1,0.0,1.5,,,0.00465,0.0,0
이효리,2022,0,1,1,0.0,2.6,,,0.00285,0.0,0
이효리,2023,0,7,7,0.0,13.2,,1.8857,0.01437,0.4286,1
이효리,2024,0,9,9,0.0,17.8,,1.9778,0.01224,0.2222,1
이효리,2025,2,9,11,4.3,15.2,,1.6889,0.00874,0.1818,1
이효리,2026,1,10,11,2.0,17.0,,1.7,0.00722,0.3636,1
임영웅,2020,1,7,8,1.0,12.0,,1.7143,0.02941,0.5,1
임영웅,2021,0,3,3,0.0,6.7,,2.2333,0.01395,0.3333,0
임영웅,2022,2,3,5,2.5,7.9,,2.6333,0.01425,0.2,1
임영웅,2023,2,1,3,4.3,2.6,,,0.00616,0.3333,0
임영웅,2024,1,10,11,1.8,23.9,,2.39,0.01497,0.0909,1
임영웅,2025,8,7,15,15.0,20.1,1.875,2.8714,0.01192,0.2,1
임영웅,2026,21,16,37,51.1,37.8,2.4333,2.3625,0.02429,0.1351,1
잔나비,2015,1,0,1,2.8,0.0,,,0.00806,0.0,0
잔나비,2018,0,1,1,0.0,1.5,,,0.00474,0.0,0
잔나비,2019,2,3,5,3.6,5.5,,1.8333,0.02165,0.4,1
잔나비,2020,2,2,4,5.1,3.0,,,0.01471,0.75,0
잔나비,2021,1,1,2,1.5,1.0,,,0.0093,0.5,0
잔나비,2022,1,8,9,1.0,15.5,,1.9375,0.02564,0.1111,1
잔나비,2023,0,7,7,0.0,12.2,,1.7429,0.01437,0.5714,1
잔나비,2024,0,2,2,0.0,5.3,,,0.00272,0.5,0
잔나비,2025,4,6,10,8.4,9.4,2.1,1.5667,0.00795,0.3,1
잔나비,2026,3,8,11,3.8,13.2,1.2667,1.65,0.00722,0.3636,1
장윤정,2017,1,0,1,1.5,0.0,,,0.00629,0.0,0
장윤정,2019,0,1,1,0.0,1.5,,,0.00433,1.0,0
장윤정,2020,0,1,1,0.0,2.0,,,0.00368,0.0,0
장윤정,2021,0,1,1,0.0,3.3,,,0.00465,0.0,0
장윤정,2022,0,1,1,0.0,2.1,,,0.00285,0.0,0
장윤정,2023,2,0,2,4.1,0.0,,,0.00411,0.5,0
장윤정,2024,3,4,7,5.5,6.9,1.8333,1.725,0.00952,0.5714,1
장윤정,2025,3,5,8,4.3,7.6,1.4333,1.52,0.00636,0.125,1
장윤정,2026,3,9,12,5.8,15.4,1.9333,1.7111,0.00788,0.4167,1
잭스키스,2016,11,11,22,24.0,20.1,2.1818,1.8273,0.11458,0.5455,1
잭스키스,2017,9,4,13,17.3,8.3,1.9222,2.075,0.08176,0.3846,1
잭스키스,2018,1,1,2,1.5,1.5,,,0.00948,0.0,0
잭스키스,2019,0,1,1,0.0,1.0,,,0.00433,1.0,0
잭스키스,2025,0,3,3,0.0,4.5,,1.5,0.00238,1.0,0
정동원,2019,1,2,3,1.0,3.0,,,0.01299,0.0,0
정동원,2020,2,6,8,3.0,9.4,,1.5667,0.02941,0.0,1
정동원,2021,1,6,7,4.1,8.5,,1.4167,0.03256,0.2857,1
정동원,2022,1,3,4,3.3,4.0,,1.3333,0.0114,0.5,0
정동원,2023,1,0,1,1.8,0.0,,,0.00205,0.0,0
정동원,2024,0,6,6,0.0,9.2,,1.5333,0.00816,0.1667,1
정동원,2025,1,5,6,1.0,8.6,,1.72,0.00477,0.3333,1
정동원,2026,11,11,22,20.9,20.4,1.9,1.8545,0.01445,0.5455,1
조용필,2018,0,1,1,0.0,1.5,,,0.00474,1.0,0
조용필,2021,1,0,1,1.5,0.0,,,0.00465,0.0,0
조용필,2024,3,2,5,4.5,2.0,1.5,,0.0068,0.0,1
조용필,2025,5,3,8,8.6,4.6,1.72,1.5333,0.00636,0.0,1
조용필,2026,3,2,5,3.8,6.1,1.2667,,0.00328,0.2,1
지드래곤 (G-Dragon),2015,1,0,1,2.3,0.0,,,0.00806,1.0,0
지드래곤 (G-Dragon),2016,3,4,7,8.0,8.0,2.6667,2.0,0.03646,0.5714,1
지드래곤 (G-Dragon),2017,2,5,7,5.3,14.9,,2.98,0.04403,0.1429,1
지드래곤 (G-Dragon),2023,1,2,3,1.3,2.0,,,0.00616,0.3333,0
지드래곤 (G-Dragon),2024,0,4,4,0.0,8.5,,2.125,0.00544,0.0,0
지드래곤 (G-Dragon),2025,23,28,51,42.5,60.4,1.8478,2.1571,0.04054,0.1176,1
지드래곤 (G-Dragon),2026,5,14,19,8.9,28.6,1.78,2.0429,0.01248,0.2632,1
지코,2015,2,0,2,3.5,0.0,,,0.01613,0.0,0
지코,2016,0,6,6,0.0,9.4,,1.5667,0.03125,0.6667,1
지코,2018,1,1,2,1.5,1.5,,,0.00948,0.0,0
지코,2019,4,3,7,7.2,5.4,1.8,1.8,0.0303,0.2857,1
지코,2020,1,5,6,1.5,10.1,,2.02,0.02206,0.3333,1
지코,2022,1,4,5,1.8,6.2,,1.55,0.01425,0.2,1
지코,2023,1,1,2,1.0,2.5,,,0.00411,0.0,0
지코,2024,2,8,10,3.8,15.9,,1.9875,0.01361,0.1,1
지코,2025,0,3,3,0.0,3.8,,1.2667,0.00238,0.0,0
지코,2026,5,9,14,10.4,15.4,2.08,1.7111,0.00919,0.3571,1
청하,2016,0,1,1,0.0,1.0,,,0.00521,0.0,0
청하,2017,1,3,4,1.0,4.8,,1.6,0.02516,0.25,0
청하,2019,1,11,12,1.5,19.7,,1.7909,0.05195,0.25,1
청하,2020,2,12,14,4.6,23.7,,1.975,0.05147,0.2143,1
청하,2021,1,2,3,2.3,3.9,,,0.01395,0.0,0
청하,2022,0,1,1,0.0,1.0,,,0.00285,0.0,0
청하,2023,4,1,5,9.2,4.0,2.3,,0.01027,0.2,1
청하,2024,3,5,8,5.6,8.2,1.8667,1.64,0.01088,0.125,1
청하,2025,2,4,6,4.6,5.0,,1.25,0.00477,0.3333,1
청하,2026,4,6,10,5.5,7.0,1.375,1.1667,0.00657,0.0,1
최예나,2020,0,1,1,0.0,1.5,,,0.00368,0.0,0
최예나,2021,0,2,2,0.0,2.5,,,0.0093,0.0,0
최예나,2022,3,5,8,6.8,9.6,2.2667,1.92,0.02279,0.125,1
최예나,2023,3,7,10,5.3,12.5,1.7667,1.7857,0.02053,0.2,1
최예나,2024,2,2,4,2.5,4.1,,,0.00544,0.0,0
최예나,2025,5,5,10,7.1,6.1,1.42,1.22,0.00795,0.3,1
최예나,2026,7,17,24,13.6,30.5,1.9429,1.7941,0.01576,0.1667,1
츄,2015,0,1,1,0.0,1.5,,,0.00806,0.0,0
츄,2020,0,1,1,0.0,1.5,,,0.00368,1.0,0
츄,2021,0,6,6,0.0,11.9,,1.9833,0.02791,0.1667,1
츄,2022,3,3,6,4.6,5.3,1.5333,1.7667,0.01709,0.6667,1
츄,2023,1,12,13,3.0,19.0,,1.5833,0.02669,0.3846,1
츄,2024,5,8,13,8.3,14.0,1.66,1.75,0.01769,0.2308,1
츄,2025,6,11,17,9.2,15.9,1.5333,1.4455,0.01351,0.1765,1
츄,2026,1,6,7,3.0,14.8,,2.4667,0.0046,0.1429,1
카더가든,2017,0,1,1,0.0,1.5,,,0.00629,0.0,0
카더가든,2019,2,4,6,2.5,6.0,,1.5,0.02597,0.0,1
카더가든,2021,1,0,1,2.0,0.0,,,0.00465,1.0,0
카더가든,2023,0,2,2,0.0,2.5,,,0.00411,0.0,0
카더가든,2024,1,3,4,2.0,5.6,,1.8667,0.00544,0.25,0
카더가든,2025,4,10,14,9.1,16.1,2.275,1.61,0.01113,0.1429,1
카더가든,2026,4,14,18,7.1,25.2,1.775,1.8,0.01182,0.2222,1
케이윌,2015,0,2,2,0.0,3.0,,,0.01613,0.0,0
케이윌,2016,0,2,2,0.0,2.5,,,0.01042,0.0,0
케이윌,2017,0,1,1,0.0,1.0,,,0.00629,0.0,0
케이윌,2018,0,1,1,0.0,1.3,,,0.00474,1.0,0
케이윌,2019,0,1,1,0.0,1.0,,,0.00433,0.0,0
케이윌,2021,0,2,2,0.0,2.0,,,0.0093,0.0,0
케이윌,2022,1,0,1,1.0,0.0,,,0.00285,0.0,0
케이윌,2023,2,0,2,3.5,0.0,,,0.00411,0.0,0
케이윌,2024,2,2,4,5.6,5.5,,,0.00544,0.0,0
케이윌,2025,13,1,14,20.4,1.0,1.5692,,0.01113,0.1429,1
케이윌,2026,2,1,3,3.5,1.5,,,0.00197,0.3333,0
투어스(TWS),2024,5,11,16,5.3,12.9,1.06,1.1727,0.02177,1.0,1
투어스(TWS),2025,10,12,22,10.0,12.0,1.0,1.0,0.01749,1.0,1
투어스(TWS),2026,7,21,28,7.0,23.1,1.0,1.1,0.01838,1.0,1
프로미스나인,2017,1,1,2,1.8,2.6,,,0.01258,0.0,0
프로미스나인,2018,1,2,3,2.1,3.5,,,0.01422,0.3333,0
프로미스나인,2019,0,1,1,0.0,2.0,,,0.00433,0.0,0
프로미스나인,2020,0,1,1,0.0,2.0,,,0.00368,0.0,0
프로미스나인,2021,1,0,1,2.3,0.0,,,0.00465,0.0,0
프로미스나인,2022,5,8,13,10.2,18.2,2.04,2.275,0.03704,0.3077,1
프로미스나인,2023,0,3,3,0.0,4.8,,1.6,0.00616,0.0,0
프로미스나인,2024,0,7,7,0.0,11.7,,1.6714,0.00952,0.4286,1
프로미스나인,2025,10,9,19,17.5,18.7,1.75,2.0778,0.0151,0.0526,1
프로미스나인,2026,3,10,13,5.1,18.0,1.7,1.8,0.00854,0.3077,1
